"Rule","Guidelines","spliceogenicity","conf_LL","conf_UL","n"
"DD1","Context",81.2,60.2,100,16
"DD1","Standard",100,84.1,100,28
"DD2","Standard",99.9,98.1,100,2218
"DD3","Standard",100,90.5,100,78
"DD4","Standard",99.7,96.2,100,583
"DD5","Standard",95.4,87.3,100,108
"DD6","Auxiliary",28.6,6.1,51.1,14
"DD6","Standard",95.1,91.1,99.1,446
"DD7","Auxiliary",25,0.7,49.3,12
"DD7","Standard",94,90.7,97.3,667
"DD8","Auxiliary",25,6.2,43.8,20
"DD8","Standard",93.6,89.1,98.1,344
"DD9","Auxiliary",19,8.4,29.7,63
"DD9","Standard",91.7,84,99.4,120
"DD10","Auxiliary",14.3,0,30.2,28
"DD10","Standard",91.5,85,98.1,165
"DD11","Auxiliary",38.6,27.4,49.7,57
"DD11","Standard",91.1,84.1,98.1,146
"DD12","Auxiliary",45.3,34.8,55.8,64
"DD12","Standard",68.2,50.2,86.1,22
"DA1","Auxiliary",28,22.5,33.5,232
"DA1","Context",78,69.6,86.4,100
"DA1","Standard",97.7,92.9,100,304
"DA2","Standard",99.7,98.1,100,2817
"DA3","Context",70.4,61,79.7,81
"DA3","Standard",99.2,91.6,100,124
"DA4","Auxiliary",17.4,0,34.9,23
"DA4","Context",23.8,5.4,42.2,21
"DA4","Standard",96.8,90.1,100,157
"DA5","Auxiliary",43.3,36.7,49.9,164
"DA5","Standard",93.1,84.8,100,102
"DA6","Auxiliary",14.8,0,31,27
"DA6","Standard",66.7,58.1,75.3,96
"DA7","Auxiliary",3.9,1.2,6.6,950
"DA7","Context",19.2,12.4,26.1,151
"DA7","Standard",38.9,19,58.7,18
"DA8","Context",7.7,0,21.2,39
"DA8","Standard",33.3,22.2,44.5,57
"DA9","Auxiliary",4.6,0.9,8.3,524
"DA9","Context",3.3,0,10.1,153
"DA9","Standard",25.4,21.7,29.1,508
