class	hgvs_pos	Regions	Rule	Guidelines	Outcome
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBNormal	-44	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Auxiliary	None
SVDBNormal	-18	PPT-Branchpoint	DA9	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon extension', 'Intron retention')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon truncation',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-40	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-35	Branchpoint	DA1	Creation	None
SVDBSplice	-9	PPT	DA9	Standard	None
SVDBNormal	-12	PPT	DA9	Auxiliary	None
SVDBSplice	-1	Acceptor	DA2	Standard	('Intron retention',)
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping', 'Exon truncation')
SVDBSplice	-1	Acceptor	DA2	Standard	('Exon skipping',)
SVDBNormal	-39	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-22	PPT-Branchpoint	DA9	Context	None
SVDBNormal	-16	PPT-Branchpoint	DA9	Standard	None
SVDBNormal	-9	PPT	DA9	Context	None
SVDBSplice	-2	Acceptor	DA2	Standard	('Exon truncation', 'Intron retention')
SVDBNormal	-3	Acceptor	DA3	Context	None
SVDBNormal	-28	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-29	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-38	Branchpoint	DA7	Auxiliary	None
SVDBNormal	-40	Branchpoint	DA7	Auxiliary	None
